run	success	app_xt	app_R2	car_xt	car_R2	pick	deliv
f9_nat_pen06_r8	0.8711	0.2401	0.9165	0.0544	0.9606	0.9824	0.7922
f10_K10_r5	0.8799	0.2342	0.9076	0.0551	0.9719	0.9707	0.7910
f10_K10_r6	0.8984	0.2502	0.9140	0.0536	0.9701	0.9629	0.7385
f10_K10_r7	0.8965	0.2534	0.9186	0.0522	0.9713	0.9570	0.6833
f10_K10_r8	0.8799	0.2387	0.9103	0.0568	0.9686	0.9648	0.6984
f11_A_b	0.9102	0.2282	0.9268	0.0535	0.9835	0.9570	0.7115
f11_A_c	0.8838	0.1714	0.9591	0.0475	0.9786	0.9570	0.7297
f11_A_d	0.8760	0.2133	0.9505	0.0493	0.9808	0.9707	0.7377
f11_B_a	0.9072	0.2141	0.9431	0.0524	0.9761	0.9668	0.7551
f11_B_b	0.8955	0.2289	0.9482	0.0521	0.9801	0.9648	0.7761
f11_A_a	0.8984	0.2161	0.9347	0.0502	0.9836	0.9434	0.7937
f11_B_c	0.9092	0.2058	0.9445	0.0572	0.9774	0.9707	0.8167
f11_B_d	0.9014	0.1685	0.9501	0.0495	0.9805	0.9648	0.7681
f13_dual10	0.8457	0.1558	0.9613	0.0525	0.9792	0.9453	0.6066
f13_dual6	0.8711	0.1384	0.9671	0.0496	0.9778	0.9629	0.5660
f13_r15	0.8779	0.2459	0.9405	0.0619	0.9754	0.9648	0.7857
f13_slim6	0.8359	0.1851	0.9591	0.0535	0.9747	0.9687	0.7903
f13_dual10_r1	0.8496	0.1392	0.9639	0.0541	0.9796	0.9668	0.5833
f13_dual10_r2	0.8525	0.1467	0.9577	0.0509	0.9780	0.9434	0.5254
f13_dual10_r3	0.8682	0.1523	0.9607	0.0543	0.9794	0.9434	0.6441
f13_dual6_r1	0.8564	0.1393	0.9701	0.0505	0.9802	0.9688	0.6552
f13_dual6_r2	0.8584	0.1497	0.9562	0.0516	0.9812	0.9668	0.6364
f13_dual6_r3	0.8662	0.1437	0.9649	0.0514	0.9805	0.9609	0.6892
f13_r15_r1	0.8857	0.2458	0.9347	0.0601	0.9732	0.9727	0.7067
f13_r15_r2	0.8672	0.2650	0.9100	0.0562	0.9770	0.9531	0.7069
f13_r15_r3	0.8740	0.2407	0.9229	0.0589	0.9767	0.9883	0.6769
f13_slim6_r1	0.8438	0.1843	0.9422	0.0522	0.9772	0.9609	0.6724
f13_slim6_r2	0.8203	0.1817	0.9397	0.0552	0.9702	0.9648	0.6618
f13_slim6_r3	0.8115	0.1781	0.9569	0.0530	0.9729	0.9570	0.6866
f11_C_a	0.9219	0.3749	0.7557	0.0553	0.8468	0.9785	0.7903
f11_C_b	0.9434	0.3961	0.8091	0.0636	0.8655	0.9531	0.7353
f11_C_c	0.8955	0.3445	0.7558	0.0621	0.8466	0.9276	0.8125
f11_C_d	0.9375	0.4097	0.7882	0.0517	0.8836	0.9629	0.7843
f13_hyst	0.8613	0.1936	0.9553	0.0595	0.9743	0.9668	0.7222
f14_dual_a	0.8975	0.1832	0.9443	0.0480	0.9837	0.9570	0.8714
f14_dual_b	0.8916	0.1727	0.9587	0.0418	0.9859	0.9492	0.8039
f14_dual_c	0.8760	0.1220	0.9757	0.0579	0.9827	0.9746	0.7937
f14_dual_d	0.8828	0.1992	0.9489	0.0459	0.9748	0.9707	0.7273
f14_c20	0.8750	0.1508	0.9564	0.0441	0.9896	0.9727	0.8491
f14_c12	0.8887	0.1172	0.9681	0.0468	0.9894	0.9668	0.7586
f11_A_a_r1	0.9180	0.2244	0.9337	0.0482	0.9823	0.9609	0.7302
f11_A_a_r2	0.9307	0.2304	0.9325	0.0457	0.9813	0.9375	0.8276
f11_A_a_r3	0.9092	0.2117	0.9438	0.0466	0.9829	0.9707	0.8000
f11_A_b_r2	0.9150	0.1986	0.9544	0.0543	0.9817	0.9609	0.7167
f11_A_b_r3	0.9053	0.2423	0.9403	0.0581	0.9713	0.9902	0.2143
f11_A_b_r1	0.9160	0.2312	0.9533	0.0544	0.9742	0.9746	0.6250
f11_A_c_r1	0.9053	0.1809	0.9501	0.0529	0.9778	0.9766	0.8103
f11_A_c_r2	0.9014	0.1715	0.9593	0.0537	0.9771	0.9609	0.7586
f11_A_c_r3	0.9258	0.1639	0.9455	0.0513	0.9760	0.9766	0.8030
f11_A_d_r1	0.8896	0.1795	0.9588	0.0493	0.9754	0.9629	0.7895
f11_A_d_r2	0.8877	0.2146	0.9519	0.0559	0.9770	0.9688	0.7451
f11_A_d_r3	0.8906	0.2092	0.9572	0.0484	0.9781	0.9727	0.7759
f11_B_a_r1	0.9121	0.2014	0.9586	0.0543	0.9779	0.9765	0.8431
f11_B_a_r2	0.9023	0.2231	0.9487	0.0595	0.9782	0.9668	0.7606
f11_B_a_r3	0.9111	0.2233	0.9481	0.0581	0.9741	0.9648	0.7969
f11_B_b_r1	0.9023	0.1907	0.9657	0.0475	0.9790	0.9824	0.7273
f11_B_b_r2	0.9033	0.2177	0.9396	0.0487	0.9784	0.9453	0.8333
f11_B_b_r3	0.8945	0.2254	0.9460	0.0496	0.9801	0.9766	0.8194
f11_B_c_r1	0.9043	0.2191	0.9448	0.0576	0.9739	0.9492	0.8000
f11_B_c_r2	0.8936	0.2032	0.9567	0.0555	0.9746	0.9648	0.7808
f11_B_c_r3	0.9043	0.2305	0.9493	0.0551	0.9759	0.9668	0.8000
f11_B_d_r1	0.9053	0.1898	0.9383	0.0460	0.9787	0.9590	0.6528
f11_B_d_r2	0.9111	0.2008	0.9382	0.0471	0.9798	0.9629	0.8625
f11_B_d_r3	0.9102	0.1752	0.9573	0.0479	0.9765	0.9648	0.8219
f11_C_a_r1	0.9336	0.3253	0.8000	0.0545	0.8761	0.9727	0.7869
f11_C_a_r2	0.9297	0.3478	0.7467	0.0548	0.8607	0.9727	0.8571
f11_C_a_r3	0.9248	0.3867	0.7090	0.0572	0.8641	0.9785	0.7705
f11_C_b_r1	0.9277	0.4842	0.7995	0.0624	0.8259	0.9844	0.7049
f11_C_b_r2	0.9336	0.3646	0.8086	0.0607	0.8413	0.9648	0.8529
f11_C_b_r3	0.9414	0.4061	0.7889	0.0619	0.8548	0.9570	0.8592
f11_C_c_r1	0.9141	0.3499	0.7463	0.0714	0.8470	0.9297	0.8082
f11_C_c_r2	0.9121	0.3273	0.7507	0.0617	0.8515	0.9395	0.8415
f11_C_c_r3	0.9062	0.3617	0.7043	0.0600	0.8489	0.9354	0.8333
f11_C_d_r1	0.9336	0.3584	0.7848	0.0566	0.8628	0.9453	0.8519
f11_C_d_r2	0.9316	0.3863	0.7738	0.0570	0.8638	0.9551	0.9057
f11_C_d_r3	0.9316	0.4218	0.7758	0.0608	0.8660	0.9707	0.7937
f14_c12_r1	0.8848	0.1160	0.9699	0.0487	0.9851	0.9453	0.7581
f14_c12_r2	0.8994	0.1147	0.9565	0.0458	0.9871	0.9609	0.8571
f14_c12_r3	0.8750	0.1041	0.9807	0.0499	0.9892	0.9629	0.6818
f14_c20_r1	0.8770	0.1245	0.9674	0.0459	0.9867	0.9805	0.7636
f14_c20_r2	0.8818	0.1392	0.9684	0.0466	0.9908	0.9629	0.7183
f14_c20_r3	0.8740	0.1456	0.9629	0.0498	0.9898	0.9727	0.7045
f14_dual_a_r1	0.8887	0.1690	0.9519	0.0461	0.9832	0.9551	0.7121
f14_dual_a_r2	0.8857	0.1602	0.9447	0.0493	0.9806	0.9375	0.6892
f14_dual_a_r3	0.8672	0.1639	0.9552	0.0470	0.9838	0.9590	0.6364
f14_dual_b_r1	0.8975	0.1979	0.9517	0.0444	0.9807	0.9668	0.6792
f14_dual_b_r2	0.8955	0.1952	0.9481	0.0443	0.9841	0.9824	0.6531
f14_dual_b_r3	0.8936	0.2047	0.9454	0.0443	0.9833	0.9668	0.6596
f14_dual_c_r1	0.8779	0.1220	0.9752	0.0485	0.9789	0.9629	0.7571
f14_dual_c_r2	0.9033	0.1307	0.9649	0.0551	0.9786	0.9629	0.7818
f14_dual_c_r3	0.8809	0.1207	0.9736	0.0542	0.9796	0.9648	0.6866
f14_dual_d_r1	0.8770	0.1904	0.9254	0.0460	0.9829	0.9629	0.8551
f14_dual_d_r2	0.9053	0.2263	0.9199	0.0430	0.9833	0.9844	0.6957
f14_dual_d_r3	0.8750	0.1970	0.9457	0.0466	0.9827	0.9512	0.7500
f15_c09	0.8682	0.1383	0.9625	0.0436	0.9849	0.9590	0.7333
f15_c16	0.8203	0.1300	0.9719	0.0439	0.9874	0.9766	0.7353
f15_c12_d	0.8877	0.1259	0.9719	0.0471	0.9856	0.9629	0.6719
f15_c12_b	0.8936	0.1696	0.9168	0.0465	0.9858	0.9629	0.8085
f15_c12_c	0.8799	0.1330	0.9698	0.0418	0.9847	0.9785	0.7400
f15_ctrl	0.9424	0.4384	0.6577	0.0722	0.8345	0.9473	0.7885
f15_sing_c12	0.8896	0.1446	0.9675	0.0514	0.9893	0.9629	0.8361
f15_c12_K10	0.8770	0.1308	0.9719	0.0425	0.9839	0.9473	0.6197
f16_kL05	0.8809	0.1571	0.9524	0.0460	0.9895	0.9570	0.5385
f16_w03	0.8887	0.1578	0.9606	0.0423	0.9876	0.9629	0.6000
f15_sing_c12_b	0.8896	0.1478	0.9713	0.0516	0.9830	0.9707	0.7636
f16_w10	0.8809	0.1288	0.9706	0.0415	0.9870	0.9570	0.7213
f16_w06	0.8779	0.1204	0.9677	0.0429	0.9858	0.9648	0.7101
f19_e8192	0.6504	0.2157	0.8464	0.0521	0.9501	0.9080	0.5965
f18_sp5	0.8955	0.3153	0.8256	0.0539	0.9593	0.9551	0.5902
f17_c12_long_e1000	0.7549	0.0957	0.9780	0.0608	0.9688	0.9648	0.5862
f17_c12_long_e2000	0.7920	0.1194	0.9728	0.0472	0.9783	0.9668	0.7532
f17_c12_long_e3000	0.8018	0.1198	0.9760	0.0497	0.9818	0.9707	0.7467
f17_c12_long_e4000	0.8398	0.1210	0.9686	0.0471	0.9873	0.9355	0.6571
f17_c12_long_e5000	0.8906	0.1499	0.9653	0.0451	0.9870	0.9648	0.7465
f17_c12_long_e7000	0.8975	0.1607	0.9452	0.0486	0.9886	0.9589	0.7547
f17_c12_long_e6000	0.8701	0.1495	0.9650	0.0467	0.9875	0.9512	0.8108
f17_c12_long_e10000	0.9150	0.1498	0.9652	0.0410	0.9889	0.9668	0.7907
f17_c12_long_e8000	0.8984	0.1360	0.9628	0.0453	0.9882	0.9824	0.7260
f17_c12_long_e9000	0.8877	0.1229	0.9684	0.0449	0.9895	0.9492	0.6885
f17_c12_long_e11000	0.9102	0.2022	0.9385	0.0417	0.9898	0.9824	0.6829
f22_long_ctrl_e1000	0.8457	0.3400	0.8031	0.0860	0.8140	0.9629	0.5135
f22_long_c20_e1000	0.7314	0.1045	0.9826	0.0535	0.9746	0.9609	0.5143
f17_c12_long_e12000	0.9141	0.1781	0.9078	0.0407	0.9884	0.9688	0.8592
f17_c12_long_e13000	0.8945	0.1302	0.9735	0.0420	0.9890	0.9629	0.7705
f22_long_ctrl_e2000	0.9062	0.3526	0.8227	0.0670	0.8450	0.9746	0.9074
f22_long_c20_e2000	0.7920	0.0930	0.9845	0.0433	0.9851	0.9609	0.5556
f17_c12_long_e14000	0.9258	0.2032	0.9443	0.0382	0.9887	0.9629	0.7200
f22_long_ctrl_e3000	0.9131	0.3408	0.8059	0.0634	0.8764	0.9766	0.8679
f22_long_c20_e3000	0.8223	0.1046	0.9743	0.0420	0.9906	0.9648	0.6441
f17_c12_long_e15000	0.9238	0.1448	0.9613	0.0386	0.9912	0.9570	0.8654
f19b_e8192	0.6748	0.1193	0.9717	0.0389	0.9887	0.9668	0.6667
f22_long_ctrl_e4000	0.9131	0.3640	0.7808	0.0584	0.8513	0.9707	0.8113
f22_long_c20_e4000	0.8613	0.1057	0.9714	0.0432	0.9895	0.9531	0.7059
f17_c12_long_e16000	0.9219	0.1332	0.9700	0.0370	0.9903	0.9668	0.8358
f22_long_ctrl_e5000	0.9395	0.3335	0.8349	0.0610	0.8528	0.9824	0.7551
f22_long_c20_e5000	0.8535	0.1213	0.9745	0.0449	0.9897	0.9590	0.7143
f17_c12_long_e17000	0.9326	0.3295	0.8968	0.0404	0.9924	0.9980	0.6061
f18b_sp5	0.8945	0.1084	0.9702	0.0411	0.9892	0.9531	0.7143
f22_long_c20_e6000	0.8564	0.1215	0.9653	0.0357	0.9917	0.9668	0.6769
f22_long_ctrl_e6000	0.9473	0.4154	0.7464	0.0551	0.8680	0.9668	0.8163
f18c_sp5	0.8770	0.1549	0.9321	0.0402	0.9876	0.9609	0.6761
f23_c16_b	0.8828	0.1358	0.9682	0.0452	0.9906	0.9648	0.7375
f23_c20_b	0.8730	0.1142	0.9748	0.0377	0.9907	0.9707	0.6774
f17_c12_long_e18000	0.9307	0.1764	0.9209	0.0341	0.9907	0.9473	0.8824
f22_long_c20_e7000	0.8936	0.1268	0.9608	0.0356	0.9899	0.9473	0.7458
f22_long_ctrl_e7000	0.9268	0.3889	0.7345	0.0545	0.8532	0.9629	0.8438
f17_c12_long_e19000	0.9219	0.1435	0.9681	0.0365	0.9914	0.9648	0.6957
f22_long_ctrl_e8000	0.9541	0.3820	0.7428	0.0632	0.8525	0.9492	0.8462
f22_long_c20_e8000	0.9033	0.1118	0.9805	0.0377	0.9905	0.9688	0.7333
f17_c12_long_e20000	0.9395	0.2062	0.9160	0.0363	0.9913	0.9590	0.8382
f22_long_ctrl_e9000	0.9297	0.3824	0.7208	0.0607	0.8548	0.9648	0.8125
f17_c12_long_e21000	0.9307	0.1320	0.9743	0.0386	0.9917	0.9863	0.7273
f22_long_ctrl_e10000	0.9336	0.4157	0.7230	0.0634	0.8896	0.9766	0.8889
f22_long_c20_e9000	0.8848	0.1170	0.9703	0.0353	0.9926	0.9375	0.7115
f17_c12_long_e22000	0.9375	0.1503	0.9657	0.0344	0.9906	0.9648	0.8033
f22_long_ctrl_e11000	0.9365	0.3689	0.7480	0.0529	0.8537	0.9707	0.8548
f17_c12_long_e23000	0.9326	0.1999	0.9363	0.0345	0.9929	0.9785	0.8491
f22_long_c20_e10000	0.9150	0.1191	0.9754	0.0371	0.9919	0.9609	0.8254
f22_long_ctrl_e12000	0.9248	0.3986	0.7576	0.0576	0.8694	0.9727	0.8507
f17_c12_long_e24000	0.9453	0.1938	0.9110	0.0394	0.9913	0.9688	0.8182
f22_long_c20_e11000	0.9336	0.0993	0.9878	0.0359	0.9932	0.9746	0.7255
f22_long_ctrl_e13000	0.9443	0.4291	0.7414	0.0577	0.8678	0.9648	0.8310
f17_c12_long	0.9375	0.1307	0.9760	0.0358	0.9935	0.9707	0.7561
f17_c12_long_e25000	0.9463	0.1649	0.9635	0.0363	0.9934	0.9668	0.8846
f22_long_c20_e12000	0.9150	0.1136	0.9824	0.0415	0.9923	0.9688	0.9020
f22_long_ctrl_e14000	0.9482	0.4197	0.7508	0.0606	0.8548	0.9668	0.8361
f22_long_c20_e13000	0.9043	0.1316	0.9695	0.0408	0.9927	0.9688	0.8281
ood_c20_lat44	0.9141	0.1114	0.9811	0.0361	0.9933	0.9609	0.6471
ood_c20_curv35	0.9053	0.1080	0.9814	0.0336	0.9923	0.9688	0.7547
ood_c12_lat44	0.9434	0.1599	0.9527	0.0341	0.9928	0.9766	0.8983
ood_c20_hump5	0.8857	0.1168	0.9810	0.0374	0.9911	0.9707	0.6957
ood_c20_sharp	0.8975	0.1096	0.9817	0.0353	0.9931	0.9746	0.7826
ood_c12_curv35	0.9453	0.1764	0.9485	0.0360	0.9913	0.9668	0.8182
ood_c12_hump5	0.9404	0.1815	0.9327	0.0390	0.9907	0.9590	0.7843
ood_c20_flat	0.9258	0.0925	0.9904	0.0321	0.9943	0.9707	0.7213
ood_c12_sharp	0.9375	0.1621	0.9626	0.0369	0.9904	0.9531	0.8525
ood_c12_flat	0.9541	0.1337	0.9764	0.0311	0.9944	0.9668	0.9057
f22_long_ctrl_e15000	0.9424	0.4664	0.6819	0.0593	0.8664	0.9863	0.9032
f22_long_c20_e14000	0.8926	0.1238	0.9719	0.0392	0.9912	0.9453	0.7213
f22_long_ctrl_e16000	0.9297	0.4436	0.6988	0.0646	0.8457	0.9727	0.7959
f22_long_c20_e15000	0.9111	0.1122	0.9818	0.0401	0.9909	0.9453	0.8361
f22_long_ctrl_e17000	0.9541	0.4221	0.7127	0.0590	0.8607	0.9746	0.9103
f32_stop1_e3000	0.0537	0.0323	0.9905	0.0587	0.9970	0.4344	0.0283
f30_t_c20_e3000	0.0879	0.0258	0.9943	0.0505	0.9896	0.0859	0.1215
f32_stop1	0.0918	0.0342	0.9931	0.0454	0.9962	0.4277	0.0426
f30_t_c20	0.1289	0.0278	0.9930	0.0425	0.9936	0.1250	0.0370
f35_m8_e3000	0.6777	0.0714	0.9831	0.0543	0.9858	0.9473	0.3269
f35_m4_e3000	0.6436	0.0739	0.9851	0.0551	0.9843	0.9414	0.3929
f35_m4	0.7051	0.0735	0.9808	0.0418	0.9911	0.9023	0.5000
f35_m8	0.6943	0.0547	0.9846	0.0434	0.9916	0.9414	0.4706
f22b_long_c20_e1000	0.7256	0.1252	0.9707	0.0507	0.9799	0.9609	0.4667
f22b_long_c20_e2000	0.8008	0.1201	0.9807	0.0502	0.9856	0.9766	0.5000
f22b_long_c20_e3000	0.7949	0.1041	0.9800	0.0427	0.9901	0.9668	0.5303
f22b_long_c20_e4000	0.8105	0.1199	0.9811	0.0386	0.9908	0.9648	0.6620
f22b_long_c20_e5000	0.8457	0.1092	0.9777	0.0425	0.9866	0.9609	0.5753
f22b_long_c20_e6000	0.8525	0.1207	0.9756	0.0414	0.9903	0.9569	0.7143
f22b_long_c20_e7000	0.8809	0.1084	0.9806	0.0388	0.9897	0.9688	0.7222
f22b_long_c20_e8000	0.8828	0.1122	0.9734	0.0407	0.9918	0.9668	0.6867
f22b_long_c20_e9000	0.8955	0.1112	0.9793	0.0406	0.9919	0.9609	0.7167
f22b_long_c20_e10000	0.8838	0.0964	0.9856	0.0438	0.9867	0.9688	0.6923
f22b_long_c20_e11000	0.9180	0.1284	0.9519	0.0401	0.9909	0.9551	0.8462
f22b_long_c20_e12000	0.8994	0.1119	0.9706	0.0371	0.9917	0.9531	0.7500
f22b_long_c20_e13000	0.9092	0.1265	0.9661	0.0395	0.9922	0.9648	0.7500
f22b_long_c20_e14000	0.8965	0.0995	0.9824	0.0348	0.9918	0.9590	0.8182
f22b_long_c20_e15000	0.9121	0.1087	0.9835	0.0369	0.9931	0.9570	0.7959
f22b_long_c20_e16000	0.9248	0.0913	0.9837	0.0359	0.9918	0.9746	0.8197
f22b_long_c20_e17000	0.9141	0.1067	0.9770	0.0365	0.9938	0.9668	0.8519
f22b_long_c20_e18000	0.9268	0.1110	0.9761	0.0387	0.9927	0.9707	0.8868
f22b_long_c20_e19000	0.9287	0.1059	0.9815	0.0318	0.9945	0.9727	0.8654
f22b_long_c20_e20000	0.9277	0.1176	0.9724	0.0341	0.9939	0.9727	0.8400
f22b_long_c20_e21000	0.9414	0.1328	0.9729	0.0357	0.9912	0.9746	0.6000
f22b_long_c20_e22000	0.9209	0.1317	0.9690	0.0359	0.9927	0.9590	0.8364
f22b_long_ctrl_e1000	0.8613	0.3049	0.8164	0.0706	0.8388	0.9648	0.6769
f22b_long_ctrl_e2000	0.8848	0.3744	0.7099	0.0747	0.8591	0.9629	0.7164
f22b_long_ctrl_e3000	0.9316	0.4043	0.7724	0.0643	0.8872	0.9648	0.7719
f22b_long_ctrl_e4000	0.8896	0.3958	0.7717	0.0630	0.8729	0.9570	0.7222
f22b_long_ctrl_e5000	0.9297	0.3672	0.7268	0.0631	0.8666	0.9434	0.8222
f22b_long_ctrl_e6000	0.9326	0.3637	0.7567	0.0588	0.8644	0.9688	0.8406
f22b_long_ctrl_e7000	0.9395	0.3763	0.7626	0.0632	0.8525	0.9629	0.8305
f22b_long_ctrl_e8000	0.9512	0.3878	0.7414	0.0597	0.8534	0.9590	0.9138
f22b_long_ctrl_e9000	0.9414	0.4131	0.7872	0.0607	0.8820	0.9785	0.7627
f22b_long_ctrl_e10000	0.9521	0.4603	0.7523	0.0524	0.8714	0.9727	0.8824
f22b_long_ctrl_e11000	0.9492	0.4418	0.7520	0.0570	0.8440	0.9551	0.8154
f22b_long_ctrl_e12000	0.9551	0.4859	0.6360	0.0521	0.8519	0.9727	0.8415
f22b_long_ctrl_e13000	0.9502	0.5850	0.6153	0.0564	0.8658	0.9805	0.8909
f22b_long_ctrl_e14000	0.9600	0.4771	0.7658	0.0537	0.8496	0.9785	0.8448
f22b_long_ctrl_e15000	0.9551	0.5710	0.6023	0.0677	0.8656	0.9863	0.9155
f22b_long_ctrl_e16000	0.9717	0.4163	0.7330	0.0479	0.8506	0.9531	0.8955
f22b_long_ctrl_e17000	0.9619	0.4108	0.7855	0.0617	0.8424	0.9629	0.8636
f22b_long_ctrl_e18000	0.9795	0.4588	0.7385	0.0534	0.8626	0.9629	0.9649
f22b_long_ctrl_e19000	0.9707	0.4717	0.6976	0.0515	0.8614	0.9629	0.8889
f22b_long_c20_e23000	0.9219	0.1955	0.9242	0.0355	0.9924	0.9727	0.7347
f22b_long_c20_e24000	0.9355	0.1319	0.9763	0.0302	0.9940	0.9707	0.8235
f22b_long_ctrl_e20000	0.9658	0.5190	0.5919	0.0679	0.8574	0.9609	0.9506
