run	success	app_xt	app_R2	car_xt	car_R2	pick	deliv
f4_turn50_r1	0.9248	0.1472	0.8853	0.0715	0.9836	0.6836	0.8261
f4_hard_r2	0.9014	0.2796	0.7343	0.0757	0.9882	0.7520	0.6667
f4_hard_r3	0.8945	0.3003	0.6997	0.0673	0.9844	0.8301	0.8125
f4_turn50_r2	0.9082	0.1516	0.8996	0.0713	0.9854	0.8887	-
f4_turn50_r3	0.9082	0.1324	0.8858	0.0794	0.9835	0.7363	0.6522
f4_turn50_r3	0.9131	0.1424	0.8919	0.0816	0.9804	0.8379	0.6923
f5_base_a	0.9189	0.1247	0.8884	0.0610	0.9860	0.6504	0.6667
f5_base_b	0.9141	0.2512	0.8673	0.0593	0.9853	0.9102	0.7647
f5_base_c	0.9023	0.1539	0.8793	0.0576	0.9860	0.7227	-
f5_base_d	0.9043	0.2379	0.8522	0.0699	0.9793	0.8340	0.8125
f5_xt_a	0.8975	0.1056	0.9631	0.0514	0.9909	0.7051	0.7586
f5_xt_b	0.9111	0.1065	0.9606	0.0463	0.9940	0.7988	0.4706
f5_base_a_r1	0.9062	0.1227	0.9040	0.0622	0.9840	0.6973	0.7500
f5_xt_c	0.9102	0.1557	0.9495	0.0575	0.9917	0.8184	0.6364
f5_base_a_r2	0.9043	0.1202	0.8917	0.0681	0.9823	0.7109	0.6400
f5_base_a_r3	0.9082	0.1298	0.8921	0.0599	0.9846	0.7012	0.7500
f5_base_b_r1	0.9062	0.2499	0.8774	0.0579	0.9859	0.9023	0.6364
f5_xt_d	0.9150	0.1188	0.9472	0.0577	0.9884	0.8047	0.7273
f5_base_b_r2	0.9180	0.2527	0.8742	0.0558	0.9842	0.8574	0.9524
f5_base_b_r3	0.9131	0.2466	0.8690	0.0602	0.9835	0.8984	0.6000
f5_base_c_r1	0.9131	0.1556	0.8833	0.0536	0.9894	0.7480	0.7692
f5_base_c_r2	0.8984	0.1746	0.8613	0.0581	0.9891	0.7168	0.4762
f5_base_c_r3	0.8994	0.1434	0.8753	0.0603	0.9826	0.7266	0.7500
f5_base_d_r1	0.9102	0.2494	0.8345	0.0650	0.9826	0.7598	0.7692
f5_base_d_r2	0.9014	0.2625	0.8717	0.0770	0.9763	0.8516	-
